#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3       1596.57        205.70     128474.73      0.40524      3.23353     1.0000     0.0240     0.0240
      0         0       6       1589.53        205.70     487364.76      0.45748      1.99793     1.0000     0.1260     0.1260
      0         0       9       1703.17        205.70     444856.22      0.90919      2.61779     1.0000     0.0380     0.0380
      0         0      12       1742.86        205.70     415832.58      1.14554      3.17708     1.0000     0.0040     0.0040
      0         0      15       1683.03        205.70     414955.20      1.17967      3.45287     1.0000     0.0060     0.0060
      0         0      18       1676.56        205.70     603145.30      1.80772      2.02639     1.0000     0.0640     0.0640
      1         1       3       1097.83        221.70     972826.94      0.66627     -0.72233     1.0000     0.7760     0.7760
      1         1       6       1087.23        221.70     689142.92      1.33017      0.76626     1.0000     0.3820     0.3820
      1         1       9       1064.62        221.70     807273.96      0.70829      0.07663     1.0000     0.5360     0.5360
      1         1      12       1072.54        221.70     769983.27      1.60465      0.37404     1.0000     0.4600     0.4600
      1         1      15       1075.09        221.70     802435.96      1.46111      0.13466     1.0000     0.5140     0.5140
      1         1      18       1053.35        221.70     917422.90      0.88642     -0.90191     1.0000     0.7800     0.7800
      2         2       3       1087.46        111.79    1137766.79      0.46081     -1.49366     1.0000     0.8740     0.8740
      2         2       6       1081.98        111.79     801216.12      1.54960      0.10169     1.0000     0.5640     0.5640
      2         2       9       1063.92        111.79     804811.64      1.80677      0.09364     1.0000     0.5220     0.5220
      2         2      12       1040.56        111.79     776238.39      1.77311      0.32568     1.0000     0.4400     0.4400
      2         2      15       1041.23        111.79     751354.73      1.89870      0.56647     1.0000     0.3800     0.3800
      2         2      18       1072.85        111.79     738887.63      1.84428      0.72364     1.0000     0.3280     0.3280
      3         3       3       1067.66        199.63    1065963.87      0.28735     -1.15788     1.0000     0.8080     0.8080
      3         3       6       1059.39        199.63     794118.27      1.51843      0.14378     1.0000     0.5440     0.5440
      3         3       9       1063.92        199.63     804811.64      1.80677      0.09364     1.0000     0.5360     0.5360
      3         3      12       1024.50        199.63     785509.12      1.98533      0.25401     1.0000     0.5040     0.5040
      3         3      15       1031.24        199.63     708172.81      2.09410      0.93150     1.0000     0.2780     0.2780
      3         3      18       1014.29        199.63     759823.31      2.11822      0.53302     1.0000     0.3860     0.3860
      4         4       3        979.41        225.99     875235.20      0.55914     -0.23236     1.0000     0.7180     0.7180
      4         4       6        988.61        225.99     885992.47      0.08976     -0.35790     1.0000     0.6380     0.6380
      4         4       9       1026.73        225.99     864878.88      0.06338     -0.32134     1.0000     0.6440     0.6440
      4         4      12       1040.41        225.99     849167.52      0.87053     -0.23813     1.0000     0.6180     0.6180
      4         4      15       1010.38        225.99     961769.28      0.93415     -1.21225     1.0000     0.8620     0.8620
      4         4      18        986.29        225.99     917782.50      1.63903     -0.83661     1.0000     0.7820     0.7820
      5         5       3        938.96        271.01     294846.23      2.13200      2.45951     1.0000     0.1080     0.1080
      5         5       6        977.30        271.01     791679.40      2.17375      0.19677     1.0000     0.5400     0.5400
      5         5       9        925.94        271.01     667346.45      2.83867      1.08115     1.0000     0.2760     0.2760
      5         5      12        925.53        271.01     865080.23      2.57976     -0.30627     1.0000     0.6520     0.6520
      5         5      15        928.63        271.01    1011774.29      1.46334     -1.56477     1.0000     0.8860     0.8860
      5         5      18        922.04        271.01     981860.13      1.53645     -1.41524     1.0000     0.8640     0.8640
      6         6       3       1342.68        249.07     777766.45      0.08210      0.21403     1.0000     0.6000     0.6000
      6         6       6       1430.10        249.07     747523.61      0.25659      0.44954     1.0000     0.5220     0.5220
      6         6       9       1504.29        249.07     617385.33      0.49080      1.41682     1.0000     0.1940     0.1940
      6         6      12       1418.82        249.07     673384.87      0.99382      1.15545     1.0000     0.2080     0.2080
      6         6      15       1386.59        249.07     749621.67      1.92524      0.62324     1.0000     0.3500     0.3500
      6         6      18       1361.40        249.07     685951.63      2.12170      1.24713     1.0000     0.1580     0.1580
      7         7       3        798.52        128.06    1411808.35      0.47388     -2.61623     1.0000     0.9520     0.9520
      7         7       6        695.42        128.06     906253.82      0.98427     -0.44924     1.0000     0.6780     0.6780
      7         7       9        745.36        128.06     822041.31      0.47557      0.05060     1.0000     0.5780     0.5780
      7         7      12        725.02        128.06     974509.46      0.13312     -1.10633     1.0000     0.8380     0.8380
      7         7      15        710.84        128.06     941362.68      0.67295     -0.93325     1.0000     0.7920     0.7920
      7         7      18        698.28        128.06     982537.42      0.96394     -1.37505     1.0000     0.8860     0.8860
      8         8       3        616.89         82.67     692311.59      0.39679      0.56661     1.0000     0.5000     0.5000
      8         8       6        606.86         82.67     596485.76      1.63580      1.29071     1.0000     0.2340     0.2340
      8         8       9        588.15         82.67     630872.82      1.67754      1.26450     1.0000     0.2280     0.2280
      8         8      12        593.23         82.67     686880.00      1.87217      0.97900     1.0000     0.2940     0.2940
      8         8      15        544.83         82.67     759559.93      1.63265      0.42678     1.0000     0.4420     0.4420
      8         8      18        567.39         82.67     822404.77      1.09412     -0.11879     1.0000     0.5900     0.5900
      9         9       3        857.90        200.80     877149.76      1.13042     -0.17614     1.0000     0.6720     0.6720
      9         9       6        831.91        200.80     803833.58      1.72928      0.20093     1.0000     0.5000     0.5000
      9         9       9        843.97        200.80     765795.22      1.90941      0.49056     1.0000     0.3840     0.3840
      9         9      12        814.05        200.80     937845.28      1.98991     -0.74913     1.0000     0.7800     0.7800
