#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     3551.14      50.36  289015.96 14720598.23     0.0000     0.0247
      1      15     1428.14     120.40  562489.14 13552200.00     0.0000     0.1297
      2       9     1874.51      75.16  391180.73 14227893.87     0.0000     0.1289
      3       6     2677.71      29.59  282654.32 14636333.33     0.0000     0.0483
      4      24     3262.12     354.67  636914.75 14421767.27     0.0000     0.0479
      5      15     4090.10     156.59  488229.81 14425599.48     0.0000     0.1004
      6      27     1055.94      78.81  713656.77 14718913.71     0.0000     0.1578
      7      24     1751.14      20.41  686086.86 13590826.34     0.0000     0.0431
      8       6     3936.82      79.98  272381.98 14224652.48     0.0000     0.0920
      9       3     4349.32     289.42   18317.62 14320086.41     0.0000     0.0020
     10       9     1247.61      92.72  239932.28 14149333.33     0.0000     0.2611
     11       3     2888.82     132.80   35896.09 15595796.91     0.0000     0.0000
     12      15      471.10      51.27  551528.48 14897361.90     0.0000     0.0711
     13       6     1934.23     306.15  360873.06 15251833.33     0.0000     0.3767
