#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       9     4649.32     388.16  382464.63 14099675.96     0.0010     0.0206
      1       3     4228.63     276.32   74888.13 14276116.85     0.0010     0.0083
      2       6     3580.02      50.36  353099.91 14766960.68     0.0000     0.1332
      3       3     2888.82     155.44   35896.09 15595796.91     0.0000     0.0020
      4       3     4425.47     566.34  186305.11 14025238.40     0.0440     0.3100
      5       9      656.24      38.39  441131.20 14501947.70     0.0040     0.0821
      6       3     3376.98     455.00   64016.67 14589922.24     0.0040     0.0057
      7       6     1593.24     466.81  279377.00 14119087.03     0.0050     0.0363
      8       9     3365.99      93.54  450402.66 14482223.58     0.0150     0.0696
      9       3     3989.30      79.98  185879.38 14245138.30     0.0100     0.0313
     10       3     1959.94     639.39   56245.09 15594410.22     0.0010     0.0477
     11       3     1845.98      75.03  207012.10 14472020.27     0.0430     0.0810
     12       3     1875.10       5.48   56189.40 14462661.34     0.0020     0.0733
     13       3     3501.33     304.36   67645.82 13096294.55     0.0040     0.0050
     14       3     4579.53     209.04   54500.49 14454319.71     0.0040     0.0490
     15       6      992.05      42.03  388520.04 15220151.94     0.0240     0.0703
     16       6     4169.27     596.52  264423.90 14087000.00     0.0050     0.2252
     17       3     3111.08     250.84   84102.34 15325390.45     0.0050     0.1093
     18       3     2783.90      29.80   76565.88 14330333.33     0.0050     0.3687
     19       9     3585.21      75.10  437063.03 14314682.40     0.0070     0.2992
     20       3     2812.11     479.74   77746.26 14179800.60     0.0080     0.2700
     21       3     4478.12     117.82  105874.14 13913333.33     0.0090     0.1190
     22       6     2654.18     432.27  351868.68 14352039.26     0.0110     0.3692
     23       3     2472.15     106.86   98079.95 13372742.24     0.0120     0.2770
     24       3     1976.10      14.45  108796.17 15208471.39     0.0130     0.0967
     25       3     5083.74      35.43   95582.43 13837000.00     0.0130     0.0813
     26       6     2915.56     251.46  376875.34 14700093.99     0.0140     0.2277
     27       6     5174.34     371.69  396948.36 14209000.00     0.0280     0.1487
     28       9     2242.51     275.81  523053.89 14793297.20     0.0150     0.1984
     29       3     1789.77     615.79  116665.00 13879769.95     0.0080     0.0513
     30       3     2500.01     142.00  123488.19 14124666.67     0.0160     0.2500
     31       6      911.31      41.36  448684.72 14565657.40     0.0360     0.0792
     32       3     2234.01      10.89  147967.34 13505333.33     0.0180     0.0207
     33       3     1012.03      63.33  157678.26 15619691.66     0.0200     0.1057
     34       3     2725.58       3.90  127179.51 13513910.39     0.0180     0.2223
     35       6     1719.95     231.39  377308.39 16324698.65     0.0190     0.4342
     36      18     4036.20     238.59  601311.36 14570613.15     0.0230     0.3229
     37       6     1078.61      96.34  402089.29 15223237.58     0.0230     0.5892
     38       3     3287.60     259.02  164210.78 12911339.52     0.0240     0.2673
     39       9     1421.03     368.08  541358.27 15195769.75     0.0280     0.6000
     40       6     3822.22     318.10  414076.68 13647223.24     0.0490     0.4138
     41       9     1425.55     151.69  556790.69 14042396.43     0.0300     0.3572
     42       3     4229.83      37.80  175457.58 15429318.51     0.0340     0.2327
     43       3     1583.98     509.71  205115.41 13956333.33     0.0360     0.2800
     44      15     2093.57       2.11  661798.25 13711266.67     0.0380     0.2831
     45       3     2751.39     221.75  203645.67 15437312.97     0.0390     0.4057
     46       3     5377.14     530.16  180831.41 15487000.00     0.0450     0.4533
     47       3      896.29      35.94  210332.42 13953340.30     0.0480     0.1510
