#   GrNr    Ngal    Rij(kpc)  size(kpc)  sigm(km/s)  Vmean(km/s) Pmin(ds)   Pmin_avr(ds)
      0       3     1895.71      90.48  102246.43 13000333.33     0.0030     0.0070
      1       3     2633.65     131.39  249020.08 14758000.00     0.0140     0.0397
      2       3     2535.32      66.81  186527.03 14653333.33     0.0200     0.1690
      3       3     4173.20      83.25  190007.89 14740000.00     0.0180     0.0223
      4       3     1470.78     129.19  240512.65 13167333.33     0.0370     0.0413
      5       3     4793.09     336.43  119005.60 14391666.67     0.0000     0.2357
      6       3     4486.18     192.42  323041.79 14754000.00     0.0110     0.0460
      7       3     1594.78     213.05  233694.24 13378000.00     0.0440     0.0473
      8       9     1286.66      85.17  727440.03 13615666.67     0.0610     0.0806
      9       9     2671.21     104.64  720470.29 14972222.22     0.0000     0.0968
     10       6     1480.83     134.83  323154.47 12401714.30     0.0050     0.0363
     11       3     1102.72      92.65  129839.64 14193666.67     0.0070     0.1990
     12       6     2293.66     223.92  453219.04 14287500.00     0.0240     0.1227
     13       3     3568.56     184.66   91248.74 14241666.67     0.0040     0.3613
     14       3     1408.04     126.89   93564.59 12855666.67     0.0040     0.0100
     15       3      596.36      51.03  186869.83 14472666.67     0.0260     0.1097
     16       3      489.91      99.83  256547.32 15260282.44     0.0530     0.0650
     17       3     2730.94     107.90  223848.91 13771333.33     0.0370     0.1040
     18       3     1939.89     307.62  205895.60 15378000.00     0.0300     0.0827
     19       3     3852.78     217.66  121309.52 15049000.00     0.0080     0.2400
     20       3      377.71      23.16  183391.20 15217333.33     0.0240     0.0780
     21       9     1098.54     244.22  644020.34 14604777.78     0.0280     0.2284
     22       3      656.59     353.00  119360.78 15003527.13     0.0110     0.0260
     23       3     1693.00     216.72  141139.41 13438666.67     0.0150     0.2133
     24       3      460.75     189.73  150116.31 15405523.76     0.0200     0.2013
     25       3      337.13       1.87  122891.55 15401333.33     0.0200     0.3877
     26       6     2799.92      51.39  481187.97 14854666.67     0.0100     0.2472
     27       3     4710.48     409.93  211544.32 11836000.00     0.0280     0.5450
     28       6      831.66      22.84  481042.33 14675620.18     0.0320     0.2187
     29       6     3094.84     109.68  510732.97 14609166.67     0.0350     0.3113
     30       3     1997.79      90.84  261496.34 14281666.67     0.0390     0.1670
     31       3     3802.55     123.81  253648.05 14255333.33     0.0530     0.6277
     32       9      263.93      66.62  638978.05 14711171.56     0.0200     0.1118
     33       9     3170.53      91.39  682885.08 15240555.56     0.0610     0.4118
     34       3     5501.53     861.08  285941.14 15515333.33     0.0640     0.1680
     35       3      665.37       5.52  300605.79 14337074.65     0.0700     0.1707
     36       3      774.68     150.56  286779.24 14885333.33     0.0730     0.1397
     37       3      569.27      59.06  303530.89 14131000.00     0.0760     0.4523
     38       3      381.51      22.55  316715.96 13687000.00     0.0830     0.0863
     39       3     2927.16      33.02  394457.01 15942333.33     0.0910     0.1027
     40       3     3882.48     209.67  377890.20 14655000.00     0.0960     0.4223
