#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
      0         0       3       1639.52        134.83     198641.26      2.38403      3.15691     1.0000     0.0380     0.0380
      0         0       6       1460.49        134.83     542739.21      3.33977      2.54499     1.0000     0.0540     0.0540
      0         0       9       1349.16        134.83     599481.04      3.68961      2.68397     1.0000     0.0340     0.0340
      0         0      12       1239.18        134.83     535445.74      4.13070      3.34372     1.0000     0.0090     0.0090
      0         0      15       1146.21        134.83     823923.74      3.71247      1.89881     1.0000     0.0800     0.0800
      0         0      18       1063.40        134.83    1008314.33      3.02587      0.83532     1.0000     0.3120     0.3120
      1         1       3       1180.74         16.69      95385.52      1.54135      3.50558     1.0000     0.0050     0.0050
      1         1       6       1076.68         16.69     372092.64      2.54020      3.26271     1.0000     0.0070     0.0070
      1         1       9       1021.89         16.69     673283.83      2.34880      2.24853     1.0000     0.0660     0.0660
      1         1      12        990.35         16.69     698427.31      2.15580      2.37393     1.0000     0.0410     0.0410
      1         1      15        944.83         16.69     878104.52      1.74451      1.48382     1.0000     0.1500     0.1500
      1         1      18        948.56         16.69     869684.21      1.85324      1.65430     1.0000     0.1060     0.1060
      2         2       3       1180.74        122.74      95385.52      1.54135      3.50558     1.0000     0.0050     0.0050
      2         2       6       1113.63        122.74     438908.21      2.41423      2.97719     1.0000     0.0190     0.0190
      2         2       9       1052.85        122.74     601511.36      2.49130      2.61152     1.0000     0.0310     0.0310
      2         2      12       1043.79        122.74     616344.92      2.82749      2.83849     1.0000     0.0130     0.0130
      2         2      15       1027.33        122.74     770439.03      2.84317      2.15010     1.0000     0.0490     0.0490
      2         2      18        964.77        122.74     893851.10      2.29444      1.49322     1.0000     0.1360     0.1360
      3         3       3       1132.58        117.21     599654.86      1.49486      1.80621     1.0000     0.2290     0.2290
      3         3       6       1126.63        117.21     512456.60      2.31408      2.66291     1.0000     0.0330     0.0330
      3         3       9       1028.73        117.21     571223.14      2.52840      2.76471     1.0000     0.0200     0.0200
      3         3      12       1013.14        117.21     711718.01      2.86139      2.29871     1.0000     0.0530     0.0530
      3         3      15       1008.23        117.21     916870.78      2.54847      1.24391     1.0000     0.1930     0.1930
      3         3      18        964.77        117.21     893851.10      2.29444      1.49322     1.0000     0.1280     0.1280
      4         4       3        824.10         97.14     693202.18      0.67305      1.42502     1.0000     0.3190     0.3190
      4         4       6        803.24         97.14     675861.60      0.27980      1.88313     1.0000     0.1270     0.1270
      4         4       9        806.33         97.14     715923.23      0.54281      1.98888     1.0000     0.0760     0.0760
      4         4      12        805.92         97.14     722820.87      1.27250      2.18615     1.0000     0.0530     0.0530
      4         4      15        831.03         97.14     851100.65      1.07269      1.58692     1.0000     0.1260     0.1260
      4         4      18        830.26         97.14     950457.04      1.03424      1.03892     1.0000     0.2300     0.2300
      5         5       3        665.37          5.52     300605.79      0.13019      2.77240     1.0000     0.0700     0.0700
      5         5       6        657.26          5.52    1178342.97      0.86708     -0.38925     1.0000     0.6650     0.6650
      5         5       9        637.74          5.52    1081248.14      1.04376      0.04973     1.0000     0.5450     0.5450
      5         5      12        633.55          5.52     998849.56      0.91235      0.53356     1.0000     0.3890     0.3890
      5         5      15        584.40          5.52    1131734.02      0.75290     -0.35661     1.0000     0.6350     0.6350
      5         5      18        561.16          5.52    1067055.11      0.95274      0.06370     1.0000     0.5080     0.5080
      6         6       3        656.59        326.33     119360.78      0.93700      3.40827     1.0000     0.0200     0.0200
      6         6       6        640.36        326.33    1121040.09      1.64117     -0.13433     1.0000     0.6290     0.6290
      6         6       9        629.13        326.33    1070842.95      1.22696      0.10366     1.0000     0.5200     0.5200
      6         6      12        632.26        326.33     976929.98      1.38807      0.66069     1.0000     0.3550     0.3550
      6         6      15        613.91        326.33     996945.41      0.87702      0.50979     1.0000     0.3740     0.3740
      6         6      18        579.10        326.33    1085864.86      1.19372     -0.06653     1.0000     0.5760     0.5760
      7         7       3        375.03        349.01    1645269.16      0.28460     -2.20097     1.0000     0.9110     0.9110
      7         7       6        365.71        349.01    1450835.90      0.64494     -1.88757     1.0000     0.9120     0.9120
      7         7       9        382.18        349.01    1316741.54      0.28342     -1.47332     1.0000     0.8480     0.8480
      7         7      12        357.75        349.01    1181187.37      0.07188     -0.88458     1.0000     0.7970     0.7970
      7         7      15        377.91        349.01    1290727.24      0.61347     -1.63049     1.0000     0.9150     0.9150
      7         7      18        410.48        349.01    1214868.10      1.12566     -1.21502     1.0000     0.8350     0.8350
